"날짜","종가","시가","고가","저가","거래량","변동 %"
"2017- 12- 28","324.74","320.63","324.74","320.34","68.94M","1.40%"
"2018- 01- 02","326.00","325.73","326.45","324.30","70.74M","0.39%"
"2018- 01- 03","327.13","327.13","328.37","326.56","109.85M","0.35%"
"2018- 01- 04","324.58","329.52","329.52","324.58","106.56M","-0.78%"
"2018- 01- 05","328.97","326.06","329.03","325.78","96.16M","1.35%"
"2018- 01- 08","331.28","330.83","331.65","328.47","88.48M","0.70%"
"2018- 01- 09","330.25","330.67","332.70","328.53","100.98M","-0.31%"
"2018- 01- 10","327.61","330.87","330.97","327.07","140.73M","-0.80%"
"2018- 01- 11","325.67","326.92","327.98","325.07","120.94M","-0.59%"
"2018- 01- 12","326.72","327.34","327.50","324.22","143.38M","0.32%"
"2018- 01- 15","327.39","328.57","328.94","326.21","98.45M","0.21%"
"2018- 01- 16","330.02","327.44","330.50","326.65","107.82M","0.80%"
"2018- 01- 17","329.19","329.31","330.21","328.03","95.20M","-0.25%"
"2018- 01- 18","329.13","331.03","331.88","328.77","94.90M","-0.02%"
"2018- 01- 19","329.52","329.81","330.55","328.51","94.69M","0.12%"
"2018- 01- 22","326.27","328.78","328.84","324.56","80.82M","-0.99%"
"2018- 01- 23","330.93","327.42","330.93","327.17","102.54M","1.43%"
"2018- 01- 24","330.91","330.37","332.44","329.86","89.71M","-0.01%"
"2018- 01- 25","334.08","330.67","334.50","330.60","124.68M","0.96%"
"2018- 01- 26","335.38","333.75","335.38","332.51","112.87M","0.39%"
"2018- 01- 29","338.05","337.28","339.27","337.05","121.23M","0.80%"
"2018- 01- 30","333.40","336.62","337.88","333.40","109.65M","-1.38%"
"2018- 01- 31","333.38","332.38","338.48","331.65","113.80M","-0.01%"
"2018- 02- 01","333.36","335.06","335.66","332.93","92.49M","-0.01%"
"2018- 02- 02","327.01","332.69","332.69","326.30","100.57M","-1.90%"
"2018- 02- 05","323.29","322.05","324.64","320.60","101.94M","-1.14%"
"2018- 02- 06","318.01","316.62","319.15","312.62","126.68M","-1.63%"
"2018- 02- 07","310.48","322.06","322.10","310.47","106.92M","-2.37%"
"2018- 02- 08","311.62","310.84","314.24","309.95","111.64M","0.37%"
"2018- 02- 09","304.83","303.54","306.34","303.47","103.31M","-2.18%"
"2018- 02- 12","308.13","306.91","309.65","305.17","84.61M","1.08%"
"2018- 02- 13","310.87","310.45","314.15","309.23","86.76M","0.89%"
"2018- 02- 14","314.40","313.33","315.53","312.81","69.23M","1.14%"
"2018- 02- 19","316.61","318.42","318.80","314.51","70.08M","0.70%"
"2018- 02- 20","312.83","315.19","315.73","312.20","56.03M","-1.19%"
"2018- 02- 21","314.47","313.14","314.95","310.99","61.42M","0.52%"
"2018- 02- 22","312.17","312.72","313.49","311.13","65.20M","-0.73%"
"2018- 02- 23","316.81","313.89","316.81","313.89","74.33M","1.49%"
"2018- 02- 26","317.34","318.49","318.60","316.12","86.35M","0.17%"
"2018- 02- 27","316.83","319.52","320.71","316.83","69.20M","-0.16%"
"2018- 02- 28","312.86","315.89","317.42","312.75","94.90M","-1.25%"
"2018- 03- 02","308.35","310.11","310.42","306.88","83.59M","-1.44%"
"2018- 03- 05","304.58","308.39","308.79","304.46","66.49M","-1.22%"
"2018- 03- 06","310.46","308.15","310.65","306.95","87.81M","1.93%"
"2018- 03- 07","311.14","311.57","314.11","309.11","97.31M","0.22%"
"2018- 03- 08","314.78","313.62","314.78","311.04","92.59M","1.17%"
"2018- 03- 09","317.67","316.06","320.47","314.87","108.41M","0.92%"
"2018- 03- 12","320.70","321.32","321.86","319.69","93.55M","0.95%"
"2018- 03- 13","322.98","320.98","322.98","320.37","96.76M","0.71%"
"2018- 03- 14","321.99","320.72","322.27","320.39","76.08M","-0.31%"
"2018- 03- 15","322.74","322.06","323.44","319.76","70.22M","0.23%"
"2018- 03- 16","322.88","322.94","323.42","320.30","75.86M","0.04%"
"2018- 03- 19","320.35","322.57","322.80","319.72","73.05M","-0.78%"
"2018- 03- 20","321.79","317.79","321.80","317.66","65.02M","0.45%"
"2018- 03- 21","321.60","322.19","322.85","321.46","72.02M","-0.06%"
"2018- 03- 22","323.32","322.97","324.72","321.80","91.62M","0.53%"
"2018- 03- 23","312.42","316.60","317.13","311.78","102.46M","-3.37%"
"2018- 03- 26","314.89","311.93","314.89","309.85","82.45M","0.79%"
"2018- 03- 27","316.34","317.22","317.39","315.24","86.17M","0.46%"
"2018- 03- 28","311.81","312.54","313.06","310.35","95.21M","-1.43%"
"2018- 03- 29","313.82","312.03","314.45","310.80","85.49M","0.64%"
"2018- 03- 30","314.61","316.19","316.92","314.59","111.26M","0.25%"
"2018- 04- 02","314.00","315.56","317.07","313.62","85.96M","-0.19%"
"2018- 04- 03","313.38","311.03","313.38","309.91","132.27M","-0.20%"
"2018- 04- 04","308.54","314.21","314.21","308.33","139.80M","-1.54%"
"2018- 04- 05","313.04","311.12","314.53","310.30","103.60M","1.46%"
"2018- 04- 06","311.61","310.39","312.32","309.73","107.25M","-0.46%"
"2018- 04- 09","313.45","310.88","313.88","310.86","101.64M","0.59%"
"2018- 04- 10","313.94","312.53","314.77","309.58","91.83M","0.16%"
"2018- 04- 11","312.94","314.83","315.45","312.44","108.37M","-0.32%"
"2018- 04- 12","313.22","313.92","314.69","312.99","95.16M","0.09%"
"2018- 04- 13","314.86","314.42","315.71","313.77","92.86M","0.52%"
"2018- 04- 16","315.17","316.45","316.53","314.14","69.23M","0.10%"
"2018- 04- 17","314.64","315.44","316.48","313.95","73.08M","-0.17%"
"2018- 04- 18","318.64","316.58","319.28","316.55","93.16M","1.27%"
"2018- 04- 19","320.12","319.26","320.68","318.47","116.87M","0.46%"
"2018- 04- 20","317.89","318.60","319.39","317.29","104.39M","-0.70%"
"2018- 04- 23","317.89","317.32","318.28","316.50","108.89M","0.00%"
"2018- 04- 24","315.86","318.24","318.30","314.43","94.69M","-0.64%"
"2018- 04- 25","313.99","313.09","314.43","312.10","82.18M","-0.59%"
"2018- 04- 26","318.08","315.55","319.06","314.95","91.04M","1.30%"
"2018- 04- 27","320.80","321.39","322.93","319.43","92.19M","0.86%"
"2018- 04- 30","323.56","321.93","323.58","321.66","139.57M","0.86%"
"2018- 05- 02","322.53","323.56","323.97","321.99","158.30M","-0.32%"
"2018- 05- 03","320.55","322.83","322.95","320.55","117.28M","-0.61%"
"2018- 05- 04","316.75","320.56","321.00","316.75","173.91M","-1.19%"
"2018- 05- 08","315.87","317.79","319.53","314.95","141.25M","-0.28%"
"2018- 05- 09","314.42","315.93","316.08","312.60","123.61M","-0.46%"
"2018- 05- 10","317.31","316.51","317.34","315.11","120.90M","0.92%"
"2018- 05- 11","318.51","318.03","319.70","317.86","112.40M","0.38%"
"2018- 05- 14","317.72","318.93","319.50","317.09","141.54M","-0.25%"
"2018- 05- 15","314.94","317.73","318.35","314.57","128.39M","-0.87%"
"2018- 05- 16","315.97","313.81","316.62","313.78","129.02M","0.33%"
"2018- 05- 17","314.29","317.33","317.77","314.29","107.63M","-0.53%"
"2018- 05- 18","315.37","315.50","315.80","314.46","83.89M","0.34%"
"2018- 05- 21","316.25","315.74","317.19","313.45","96.77M","0.28%"
"2018- 05- 23","318.31","316.45","319.04","316.01","122.35M","0.65%"
"2018- 05- 24","317.48","318.93","319.46","316.55","83.14M","-0.26%"
"2018- 05- 25","318.05","315.92","318.88","315.43","130.29M","0.18%"
"2018- 05- 28","318.99","318.37","319.99","318.04","147.74M","0.30%"
"2018- 05- 29","316.20","318.70","319.40","316.18","117.36M","-0.87%"
"2018- 05- 30","309.26","314.64","315.20","308.07","135.72M","-2.19%"
"2018- 05- 31","310.92","312.01","312.26","309.84","228.47M","0.54%"
"2018- 06- 01","313.22","310.13","314.14","309.87","120.95M","0.74%"
"2018- 06- 04","314.84","313.70","315.46","313.26","104.43M","0.52%"
"2018- 06- 05","315.76","315.12","316.07","312.83","105.96M","0.29%"
"2018- 06- 07","317.67","317.94","319.19","317.03","108.02M","0.60%"
"2018- 06- 08","314.97","316.94","317.25","314.53","103.10M","-0.85%"
"2018- 06- 11","317.22","315.24","317.35","314.24","103.06M","0.71%"
"2018- 06- 12","316.84","317.81","318.30","316.21","122.23M","-0.12%"
"2018- 06- 14","311.20","314.60","314.82","311.03","147.74M","-1.78%"
"2018- 06- 15","308.73","312.43","312.55","308.71","127.40M","-0.79%"
"2018- 06- 18","305.35","308.73","308.95","303.77","121.13M","-1.09%"
"2018- 06- 19","301.35","304.92","305.79","300.74","117.68M","-1.31%"
"2018- 06- 20","304.02","302.95","305.69","301.83","104.27M","0.89%"
"2018- 06- 21","301.02","304.06","305.04","301.02","101.20M","-0.99%"
"2018- 06- 22","303.69","298.81","303.72","298.71","92.74M","0.89%"
"2018- 06- 25","303.37","302.77","303.99","300.69","83.14M","-0.11%"
"2018- 06- 26","302.76","300.30","303.83","299.50","95.03M","-0.20%"
"2018- 06- 27","302.25","302.73","304.29","301.92","100.17M","-0.17%"
"2018- 06- 28","298.26","299.91","300.83","297.72","88.46M","-1.32%"
"2018- 06- 29","299.66","299.37","300.28","295.97","91.79M","0.47%"
"2018- 07- 02","292.93","299.12","300.04","292.93","93.23M","-2.25%"
"2018- 07- 03","293.35","294.89","295.06","290.89","88.70M","0.14%"
"2018- 07- 04","292.26","293.54","294.63","291.87","67.01M","-0.37%"
"2018- 07- 05","291.63","292.12","293.60","289.90","64.86M","-0.22%"
"2018- 07- 06","293.11","292.04","294.73","290.09","100.95M","0.51%"
"2018- 07- 09","295.20","293.88","296.63","292.58","80.24M","0.71%"
"2018- 07- 10","296.19","297.14","297.99","295.84","74.33M","0.34%"
"2018- 07- 11","294.43","293.80","295.27","291.77","102.40M","-0.59%"
"2018- 07- 12","294.41","294.94","296.63","293.77","94.35M","-0.01%"
"2018- 07- 13","298.65","295.88","298.99","295.86","88.56M","1.44%"
"2018- 07- 16","297.37","298.71","299.56","297.06","69.36M","-0.43%"
"2018- 07- 17","296.88","297.46","298.15","295.74","77.99M","-0.16%"
"2018- 07- 18","296.47","299.20","300.24","296.08","78.88M","-0.14%"
"2018- 07- 19","295.90","297.71","297.94","295.52","85.40M","-0.19%"
"2018- 07- 20","296.95","295.78","297.52","294.05","76.11M","0.35%"
"2018- 07- 23","294.56","296.81","296.81","293.80","87.89M","-0.80%"
"2018- 07- 24","295.49","294.92","296.05","293.28","99.97M","0.32%"
"2018- 07- 25","294.85","295.99","297.17","294.29","85.72M","-0.22%"
"2018- 07- 26","296.95","296.20","298.22","295.11","93.05M","0.71%"
"2018- 07- 27","297.78","297.29","297.88","296.21","71.33M","0.28%"
"2018- 07- 30","297.29","297.01","298.00","295.99","66.42M","-0.16%"
"2018- 07- 31","297.45","297.01","297.79","296.14","71.87M","0.05%"
"2018- 08- 01","298.69","298.32","299.96","298.06","70.93M","0.42%"
"2018- 08- 02","293.55","298.25","298.54","292.89","75.90M","-1.72%"
"2018- 08- 03","295.61","294.45","295.85","293.59","63.19M","0.70%"
"2018- 08- 06","295.24","295.79","297.37","294.78","70.15M","-0.13%"
"2018- 08- 07","297.18","295.79","297.38","294.37","70.32M","0.66%"
"2018- 08- 08","297.19","297.97","298.46","296.78","76.31M","0.00%"
"2018- 08- 09","297.41","297.23","297.41","295.61","87.04M","0.07%"
"2018- 08- 10","293.64","295.93","296.10","293.05","94.30M","-1.27%"
"2018- 08- 13","289.85","291.21","292.09","288.11","94.72M","-1.29%"
"2018- 08- 14","291.08","290.03","291.64","289.61","75.90M","0.42%"
"2018- 08- 16","288.24","287.10","289.05","285.42","93.69M","-0.98%"
"2018- 08- 17","288.57","288.57","289.35","287.78","67.29M","0.11%"
"2018- 08- 20","288.61","289.78","290.93","288.15","74.15M","0.01%"
"2018- 08- 21","291.93","288.51","292.41","287.94","79.70M","1.15%"
"2018- 08- 22","293.00","292.45","293.83","291.93","81.68M","0.37%"
"2018- 08- 23","294.29","294.21","294.37","292.39","73.75M","0.44%"
"2018- 08- 24","295.54","293.26","295.91","292.53","70.16M","0.42%"
"2018- 08- 27","296.83","296.21","297.34","295.30","85.30M","0.44%"
"2018- 08- 28","297.22","298.67","298.95","296.60","84.39M","0.13%"
"2018- 08- 29","298.05","297.31","298.23","296.63","81.22M","0.28%"
"2018- 08- 30","298.05","298.44","299.99","297.37","80.68M","0.00%"
"2018- 08- 31","300.07","296.49","300.07","296.09","107.57M","0.68%"
"2018- 09- 03","297.49","299.15","299.28","296.85","64.70M","-0.86%"
"2018- 09- 04","298.80","297.72","299.20","296.86","64.65M","0.44%"
"2018- 09- 05","294.96","297.89","298.40","294.37","81.06M","-1.29%"
"2018- 09- 06","294.28","294.23","295.82","293.62","79.88M","-0.23%"
"2018- 09- 07","292.86","292.26","293.79","290.69","90.39M","-0.48%"
"2018- 09- 10","293.70","292.37","294.06","292.25","84.20M","0.29%"
"2018- 09- 11","292.46","293.42","294.75","291.49","83.41M","-0.42%"
"2018- 09- 12","292.35","292.74","293.29","290.89","87.63M","-0.04%"
"2018- 09- 13","292.42","292.50","293.42","291.78","98.54M","0.02%"
"2018- 09- 14","297.29","295.19","297.38","295.04","83.09M","1.67%"
"2018- 09- 17","295.23","296.70","296.74","294.14","64.92M","-0.69%"
"2018- 09- 18","296.10","293.06","296.51","293.03","77.06M","0.29%"
"2018- 09- 19","296.64","297.63","297.72","295.50","94.20M","0.18%"
"2018- 09- 20","299.04","297.47","300.45","297.12","97.94M","0.81%"
"2018- 09- 21","300.81","299.84","300.81","298.90","124.34M","0.59%"
"2018- 09- 27","302.59","299.54","302.60","299.54","120.50M","0.59%"
"2018- 09- 28","300.51","302.53","302.64","299.83","111.43M","-0.69%"
"2018- 10- 01","300.17","301.55","301.97","299.30","77.26M","-0.11%"
"2018- 10- 02","296.53","300.20","300.93","296.36","86.57M","-1.21%"
"2018- 10- 04","291.78","296.42","296.42","291.26","107.33M","-1.60%"
"2018- 10- 05","291.28","291.42","292.66","289.33","93.62M","-0.17%"
"2018- 10- 08","289.91","290.02","292.29","289.91","69.77M","-0.47%"
"2018- 10- 10","287.85","290.23","290.37","286.92","117.74M","-0.71%"
"2018- 10- 11","275.15","281.52","282.65","275.15","144.52M","-4.41%"
"2018- 10- 12","279.37","275.82","281.26","275.43","101.67M","1.53%"
"2018- 10- 15","277.19","278.35","278.91","276.49","73.19M","-0.78%"
"2018- 10- 16","276.90","278.73","279.52","276.22","60.61M","-0.10%"
"2018- 10- 17","280.05","280.07","281.99","279.10","75.39M","1.14%"
"2018- 10- 18","277.48","278.73","280.01","277.30","68.81M","-0.92%"
"2018- 10- 19","278.63","275.08","279.03","273.81","74.65M","0.41%"
"2018- 10- 22","279.40","276.78","279.89","275.99","62.45M","0.28%"
"2018- 10- 23","272.54","277.31","277.57","270.72","88.69M","-2.46%"
"2018- 10- 24","271.36","274.07","274.24","270.64","99.13M","-0.43%"
"2018- 10- 25","266.72","264.46","267.09","262.97","120.41M","-1.71%"
"2018- 10- 26","262.69","267.04","267.04","260.16","111.38M","-1.51%"
"2018- 10- 29","260.19","262.82","265.29","259.84","109.74M","-0.95%"
"2018- 10- 30","262.47","259.15","264.74","259.06","122.39M","0.88%"
"2018- 10- 31","264.01","263.55","264.14","261.03","107.85M","0.59%"
"2018- 11- 01","262.95","264.72","266.97","262.77","102.28M","-0.40%"
"2018- 11- 02","272.56","266.16","272.79","265.82","111.23M","3.65%"
"2018- 11- 05","270.07","270.22","270.45","266.67","81.49M","-0.91%"
"2018- 11- 06","271.57","271.01","272.01","268.57","77.83M","0.56%"
"2018- 11- 07","270.45","271.43","273.79","269.77","119.32M","-0.41%"
"2018- 11- 08","272.11","274.88","276.34","272.07","99.22M","0.61%"
"2018- 11- 09","271.33","272.25","273.57","270.85","80.92M","-0.29%"
"2018- 11- 12","271.57","268.66","272.27","268.64","78.00M","0.09%"
"2018- 11- 13","269.70","267.03","269.89","264.63","88.28M","-0.69%"
"2018- 11- 14","268.88","269.58","270.01","267.75","87.33M","-0.30%"
"2018- 11- 15","271.54","267.93","271.69","267.68","74.36M","0.99%"
"2018- 11- 16","271.65","272.95","273.52","271.06","74.60M","0.04%"
"2018- 11- 19","272.31","272.01","274.05","270.83","75.01M","0.24%"
"2018- 11- 20","269.58","268.54","270.58","268.54","80.90M","-1.00%"
"2018- 11- 21","268.27","265.96","268.49","264.95","81.84M","-0.49%"
"2018- 11- 22","267.76","268.51","269.11","267.15","64.41M","-0.19%"
"2018- 11- 23","266.33","268.12","268.54","264.86","58.35M","-0.53%"
"2018- 11- 26","269.79","266.43","269.95","266.41","75.65M","1.30%"
"2018- 11- 27","272.08","270.90","272.47","269.27","71.91M","0.85%"
"2018- 11- 28","273.45","272.64","273.53","271.35","79.83M","0.50%"
"2018- 11- 29","274.16","277.08","277.54","273.40","80.65M","0.26%"
"2018- 11- 30","271.35","274.53","275.51","270.88","137.53M","-1.02%"
"2018- 12- 03","276.18","275.70","276.98","273.59","89.07M","1.78%"
"2018- 12- 04","273.29","275.08","275.72","272.03","80.80M","-1.05%"
"2018- 12- 05","271.49","269.53","272.38","269.47","75.64M","-0.66%"
"2018- 12- 06","267.18","270.18","270.18","266.61","86.09M","-1.59%"
"2018- 12- 07","268.28","268.97","269.66","267.03","68.45M","0.41%"
"2018- 12- 10","265.35","264.55","266.20","263.63","77.30M","-1.09%"
"2018- 12- 11","264.69","265.87","265.99","263.87","70.04M","-0.25%"
"2018- 12- 12","268.47","266.00","268.84","265.55","83.69M","1.43%"
"2018- 12- 13","269.41","269.07","271.06","268.22","145.06M","0.35%"
"2018- 12- 14","265.55","269.69","269.69","264.44","99.73M","-1.43%"
"2018- 12- 17","266.33","265.81","267.19","265.41","71.45M","0.29%"
"2018- 12- 18","265.18","264.42","266.83","263.93","90.33M","-0.43%"
"2018- 12- 19","267.31","266.02","267.55","265.26","81.75M","0.80%"
"2018- 12- 20","264.81","265.13","266.34","263.12","81.34M","-0.94%"
"2018- 12- 21","265.06","263.66","265.06","263.15","92.60M","0.09%"
"2018- 12- 24","264.45","263.51","265.09","262.96","61.96M","-0.23%"
"2018- 12- 26","260.98","261.09","262.49","259.35","92.49M","-1.31%"
"2018- 12- 27","260.57","261.53","261.71","259.73","84.46M","-0.16%"
"2018- 12- 28","261.98","261.61","262.85","261.27","62.70M","0.54%"
"2019- 01- 02","258.23","263.35","263.77","257.47","69.95M","-1.43%"
"2019- 01- 03","255.77","258.19","258.70","255.35","90.52M","-0.95%"
"2019- 01- 04","257.89","255.62","258.12","254.55","91.20M","0.83%"
"2019- 01- 07","261.57","261.11","263.13","260.76","92.32M","1.43%"
"2019- 01- 08","259.65","261.29","262.43","259.39","86.91M","-0.73%"
"2019- 01- 09","265.60","260.95","266.05","260.87","98.75M","2.29%"
"2019- 01- 10","265.55","265.73","266.85","264.61","99.83M","-0.02%"
"2019- 01- 11","267.13","266.58","267.58","265.56","81.08M","0.59%"
"2019- 01- 14","264.99","266.22","266.70","264.23","74.93M","-0.80%"
"2019- 01- 15","269.93","265.62","270.02","265.37","87.17M","1.86%"
"2019- 01- 16","271.23","269.96","271.28","269.05","100.50M","0.48%"
"2019- 01- 17","271.88","271.66","273.05","270.81","86.75M","0.24%"
"2019- 01- 18","273.88","273.02","273.95","272.56","78.97M","0.74%"
"2019- 01- 21","274.00","274.99","275.14","272.29","86.55M","0.04%"
"2019- 01- 22","272.71","274.08","274.60","271.45","68.87M","-0.47%"
"2019- 01- 23","273.87","271.35","274.51","271.03","99.96M","0.43%"
"2019- 01- 24","276.61","274.10","276.64","273.74","132.86M","1.00%"
"2019- 01- 25","281.67","277.30","281.72","277.04","115.51M","1.83%"
"2019- 01- 28","281.64","282.56","283.46","280.47","95.97M","-0.01%"
"2019- 01- 29","283.00","281.12","283.00","279.65","130.94M","0.48%"
"2019- 01- 30","286.62","282.86","286.63","282.24","134.73M","1.28%"
"2019- 01- 31","285.89","288.85","288.87","285.89","153.50M","-0.25%"
"2019- 02- 01","285.79","287.07","288.34","285.43","114.63M","-0.03%"
"2019- 02- 07","285.65","287.54","287.67","284.97","100.69M","-0.05%"
"2019- 02- 08","281.49","283.85","284.01","280.95","88.71M","-1.46%"
"2019- 02- 11","282.10","281.75","282.19","280.02","79.97M","0.22%"
"2019- 02- 12","283.69","282.12","284.32","281.43","92.11M","0.56%"
"2019- 02- 13","284.97","285.09","285.59","284.13","93.29M","0.45%"
"2019- 02- 14","288.68","284.25","288.68","282.91","112.39M","1.30%"
"2019- 02- 15","283.98","286.42","286.42","282.81","77.19M","-1.63%"
"2019- 02- 18","285.90","285.60","287.02","284.64","73.48M","0.68%"
"2019- 02- 19","284.91","285.36","286.12","283.16","62.75M","-0.35%"
"2019- 02- 20","288.40","286.55","289.22","286.21","88.58M","1.22%"
"2019- 02- 21","288.41","287.43","289.28","286.05","88.24M","0.00%"
"2019- 02- 22","288.74","287.29","288.74","286.54","70.34M","0.11%"
"2019- 02- 25","289.00","290.19","290.32","287.84","73.42M","0.09%"
"2019- 02- 26","287.89","288.52","289.20","287.06","81.33M","-0.38%"
"2019- 02- 27","288.76","288.90","289.41","288.09","72.74M","0.30%"
"2019- 02- 28","283.80","288.13","288.62","283.80","129.09M","-1.72%"
"2019- 03- 04","282.51","286.12","286.68","282.16","107.55M","-0.45%"
"2019- 03- 05","280.45","281.42","281.89","279.53","78.81M","-0.73%"
"2019- 03- 06","279.85","280.09","280.26","278.72","75.23M","-0.21%"
"2019- 03- 07","278.87","279.33","280.98","277.44","78.64M","-0.35%"
"2019- 03- 08","274.84","277.18","278.00","274.84","71.64M","-1.45%"
"2019- 03- 11","275.06","275.50","276.28","273.88","64.83M","0.08%"
"2019- 03- 12","277.73","277.41","278.48","276.94","63.96M","0.97%"
"2019- 03- 13","276.00","276.92","277.12","274.04","61.49M","-0.62%"
"2019- 03- 14","276.64","276.79","277.40","274.78","95.82M","0.23%"
"2019- 03- 15","279.87","276.42","280.50","276.31","123.13M","1.17%"
"2019- 03- 18","279.93","280.27","280.77","278.92","60.90M","0.02%"
"2019- 03- 19","279.82","280.30","280.40","278.63","55.39M","-0.04%"
"2019- 03- 20","279.92","278.84","280.07","276.34","61.17M","0.04%"
"2019- 03- 21","282.38","281.14","284.39","280.63","97.09M","0.88%"
"2019- 03- 22","283.13","283.92","284.55","282.09","117.73M","0.27%"
"2019- 03- 25","277.45","279.12","279.21","277.19","77.32M","-2.01%"
"2019- 03- 26","277.60","278.43","278.49","276.91","65.75M","0.05%"
"2019- 03- 27","277.28","277.01","278.16","274.87","67.77M","-0.12%"
"2019- 03- 28","275.08","275.02","276.20","273.90","66.92M","-0.79%"
"2019- 03- 29","276.48","276.33","277.01","274.32","82.28M","0.51%"
"2019- 04- 01","280.32","278.41","280.93","278.41","76.67M","1.39%"
"2019- 04- 02","281.72","281.67","282.47","281.00","72.18M","0.50%"
"2019- 04- 03","285.65","281.88","285.65","281.22","91.59M","1.39%"
"2019- 04- 04","286.15","285.29","287.75","284.97","73.80M","0.18%"
"2019- 04- 05","286.68","286.03","287.53","285.93","64.89M","0.19%"
"2019- 04- 08","286.38","287.78","287.83","285.09","64.57M","-0.10%"
"2019- 04- 09","286.71","286.51","288.02","285.38","66.23M","0.12%"
"2019- 04- 10","287.92","285.44","288.01","285.10","75.08M","0.42%"
"2019- 04- 11","287.42","288.33","288.71","286.38","84.68M","-0.17%"
"2019- 04- 12","288.37","286.89","288.62","285.83","69.06M","0.33%"
"2019- 04- 15","289.38","289.54","290.74","289.12","80.43M","0.35%"
"2019- 04- 16","290.62","289.18","290.76","288.77","96.13M","0.43%"
"2019- 04- 17","290.33","290.68","291.21","289.84","72.67M","-0.10%"
"2019- 04- 18","285.82","290.88","291.15","285.38","89.65M","-1.55%"
"2019- 04- 19","285.89","287.18","287.48","285.72","63.87M","0.02%"
"2019- 04- 22","285.87","286.06","287.59","284.52","55.19M","-0.01%"
"2019- 04- 23","286.47","285.85","286.83","285.42","67.38M","0.21%"
"2019- 04- 24","283.70","287.82","287.82","281.96","88.61M","-0.97%"
"2019- 04- 25","282.83","282.80","284.22","281.90","74.58M","-0.31%"
"2019- 04- 26","281.34","280.86","282.47","279.70","76.72M","-0.53%"
"2019- 04- 29","286.79","282.00","286.79","281.81","66.98M","1.94%"
"2019- 04- 30","284.92","286.25","286.59","282.61","77.99M","-0.65%"
"2019- 05- 02","286.12","283.37","286.87","283.14","84.18M","0.42%"
"2019- 05- 03","283.67","285.64","285.95","283.14","67.79M","-0.86%"
"2019- 05- 07","281.31","280.89","281.66","278.95","97.72M","-0.83%"
"2019- 05- 08","280.15","277.85","281.84","277.84","75.00M","-0.41%"
"2019- 05- 09","271.00","278.83","279.63","271.00","124.01M","-3.27%"
"2019- 05- 10","272.06","273.37","274.32","269.71","89.44M","0.39%"
"2019- 05- 13","268.72","269.80","271.54","268.55","66.87M","-1.23%"
"2019- 05- 14","268.57","266.03","270.42","265.55","82.19M","-0.06%"
"2019- 05- 15","269.64","268.42","271.00","267.62","77.02M","0.40%"
"2019- 05- 16","265.99","269.83","269.96","265.24","75.96M","-1.35%"
"2019- 05- 17","264.35","267.85","268.06","263.94","75.10M","-0.62%"
"2019- 05- 20","264.96","265.90","267.65","264.33","64.23M","0.23%"
"2019- 05- 21","266.12","265.25","268.55","264.79","81.02M","0.44%"
"2019- 05- 22","266.65","267.01","267.60","263.95","61.66M","0.20%"
"2019- 05- 23","266.38","266.40","267.12","264.50","71.66M","-0.10%"
"2019- 05- 24","264.42","264.70","266.11","263.10","67.23M","-0.74%"
"2019- 05- 27","264.40","264.18","265.85","263.17","53.14M","-0.01%"
"2019- 05- 28","264.70","264.38","266.16","263.27","147.26M","0.11%"
"2019- 05- 29","261.37","264.10","264.10","260.22","82.79M","-1.26%"
"2019- 05- 30","263.93","261.58","264.23","261.58","70.34M","0.98%"
"2019- 05- 31","263.89","262.48","265.21","261.53","77.79M","-0.02%"
"2019- 06- 03","268.16","262.68","268.55","262.33","83.61M","1.62%"
"2019- 06- 04","267.66","267.84","268.47","266.72","70.29M","-0.19%"
"2019- 06- 05","267.99","270.10","270.46","267.46","67.51M","0.12%"
"2019- 06- 07","268.27","267.97","269.63","266.27","67.97M","0.10%"
"2019- 06- 10","272.10","270.32","272.20","268.68","60.89M","1.43%"
"2019- 06- 11","273.21","271.48","273.69","271.24","61.24M","0.41%"
"2019- 06- 12","272.74","273.14","274.32","272.00","66.92M","-0.17%"
"2019- 06- 13","271.13","271.96","272.46","268.38","95.80M","-0.59%"
"2019- 06- 14","270.48","270.19","271.55","268.96","66.71M","-0.24%"
"2019- 06- 17","270.09","269.83","271.59","269.14","57.06M","-0.14%"
"2019- 06- 18","271.36","269.77","271.87","269.77","65.72M","0.47%"
"2019- 06- 19","275.31","274.40","275.60","274.08","69.73M","1.46%"
"2019- 06- 20","276.01","274.63","276.09","274.43","55.34M","0.25%"
"2019- 06- 21","275.48","276.17","276.26","274.60","77.28M","-0.19%"
"2019- 06- 24","275.58","275.91","276.73","275.13","55.54M","0.04%"
"2019- 06- 25","275.28","275.33","277.02","274.19","60.51M","-0.11%"
"2019- 06- 26","275.53","275.21","276.36","274.66","58.82M","0.09%"
"2019- 06- 27","277.75","275.47","278.63","275.09","66.30M","0.81%"
"2019- 06- 28","277.50","278.03","278.56","276.58","67.60M","-0.09%"
"2019- 07- 01","277.27","279.59","279.68","276.85","74.36M","-0.08%"
"2019- 07- 02","275.97","276.06","277.46","274.63","65.54M","-0.47%"
"2019- 07- 03","272.37","275.57","276.69","271.90","97.52M","-1.30%"
"2019- 07- 04","274.54","273.18","274.61","271.93","77.52M","0.80%"
"2019- 07- 05","274.35","274.74","275.23","272.41","60.02M","-0.07%"
"2019- 07- 08","268.55","271.38","271.67","268.38","75.10M","-2.11%"
