feature,importance
나스닥수익률표준편차(-6~-10),0.13957035897411754
나스닥수익률표준편차(-11~-15),0.10975986336411643
VIXCLS,0.10475438733405983
나스닥수익률표준편차(-1~-5),0.09905630896932409
코스닥수익률표준편차(-11~-15),0.06888436531297752
코스닥수익률표준편차(-6~-10),0.06840309264161624
코스피수익률표준편차(-11~-15),0.04097216880666602
코스피수익률표준편차(-1~-5),0.03582666669071822
코스피수익률표준편차(-6~-10),0.02878121329111666
시장금리국고채3년,0.02849232367701259
WTI유(-6~-10),0.02709557120917938
나스닥수익률표준편차(-16~-20),0.023615325613303227
코스닥수익률표준편차(-1~-5),0.02195441808849006
WTI유(-1~-5),0.016679936412417627
구리_미국(-11~-15),0.01652069856313844
코스피수익률표준편차(-16~-20),0.01552937927096175
WTI유(-11~-15),0.013091257213013432
원달러환율수익률표준편차(-6~-10),0.01233972005713652
코스닥수익률표준편차(-16~-20),0.012303491735540979
WTI유(-16~-20),0.011205214050368817
금(-11~-15),0.011174423015609747
미국_옥수수(-16~-20),0.006332666831765712
미국_옥수수(-11~-15),0.006069608589019037
구리_미국(-6~-10),0.005706006095730087
미국_커피(-11~-15),0.005668565172219732
원달러환율수익률표준편차(-1~-5),0.005594556599377954
원달러환율수익률표준편차(-16~-20),0.005213866300355441
원달러환율수익률표준편차(-11~-15),0.005205807558568491
미국_옥수수(-6~-10),0.004231885575457545
구리_미국(-1~-5),0.004034911088822162
구리_미국(-16~-20),0.003982218617066963
금(-16~-20),0.003907308294388803
미국_커피(-16~-20),0.0033585005334226996
1~5일 수익률 표준편차,0.003328950409727109
미국_옥수수(-1~-5),0.003255772661076299
미국_커피(-1~-5),0.0031325162976287096
6~10일 수익률 표준편차,0.0028866382069258067
돈육(-6~-10),0.0028074624265151255
미국_커피(-6~-10),0.0027967120640610293
돈육(-11~-15),0.0026710743531972985
돈육(-1~-5),0.0026286659453892015
금(-1~-5),0.0025692396657467547
16~20일 수익률 표준편차,0.00253251507620839
금(-6~-10),0.002121788105401363
돈육(-16~-20),0.002118230163993798
11~15일 수익률 표준편차,0.001834349077049303
